自媒体	name	匹配度	总停留时长
自媒体	name	匹配度	总停留时长
玩车教授	哥瑞	99	816.3417146615003
玩车教授	锋范	94	11179.046836010402
玩车教授	凌派	93	8049.010221799942
玩车教授	威驰	89	27643.704820026807
玩车教授	雷凌	88	26697.640358128596
玩车教授	宝来	86	45454.655130014304
玩车教授	福睿斯	86	14674.293555264087
玩车教授	轩逸	84	81461.22853996545
玩车教授	卡罗拉	84	142498.20157655008
玩车教授	福克斯	82	27950.079470645163
玩车教授	英朗	82	120498.22132318399
玩车教授	科沃兹	81	2328.483194380925
玩车教授	本田XR-V	81	20126.395957799683
玩车教授	威朗	81	7965.809930658502
玩车教授	科鲁兹	80	14582.04139815059
玩车教授	速腾	79	81997.5186862966
玩车教授	朗逸	79	159256.584008563
玩车教授	飞度	79	74320.81444362082
玩车教授	逍客	78	66695.515784806
玩车教授	标致3008	78	1352.0222445192162
玩车教授	桑塔纳	77	32799.10151574494
玩车教授	缤智	76	102775.9312332843
玩车教授	宝骏560	76	70142.82480832722
玩车教授	瑞纳	76	4790.166548195772
玩车教授	思域	76	129027.18135808622
玩车教授	捷达	76	130471.63639030886
玩车教授	瑞风S3	75	23828.9579968033
玩车教授	POLO	75	1985.9422459537677
玩车教授	荣威RX5	74	65272.83369385158
玩车教授	RAV4荣放	74	20104.794167056192
玩车教授	哈弗H1	74	1739.26217277544
玩车教授	本田CR-V	74	123163.58562707296
玩车教授	长安CS35	74	14899.226982404081
玩车教授	奇骏	73	59765.016931774764
玩车教授	传祺GS4	73	94451.83031875402
玩车教授	帝豪	73	170961.49404856117
玩车教授	途观	73	199840.0005117327
玩车教授	景逸X5	72	8365.97033075153
玩车教授	长安CS75	72	71107.76981113953
玩车教授	凌渡	71	10692.993571476833
玩车教授	哈弗H2	71	41060.639020885814
玩车教授	瑞风	71	1802.1089087013422
玩车教授	哈弗H6	70	312328.1674664693
玩车教授	森雅R7	70	6813.108448106376
玩车教授	荣威360	69	663.9629781302112
玩车教授	逸动	69	11893.744796869945
玩车教授	明锐	69	19510.411982108817
玩车教授	艾瑞泽7	69	1899.2748152004162
玩车教授	途胜	68	6827.519048452928
玩车教授	瑞虎3	68	4113.333224305898
玩车教授	启辰T90	67	8134.083945091544
玩车教授	瑞风S2	65	3738.729607544531
玩车教授	长安CX70	65	21712.13775961125
玩车教授	杰德	64	11098.39018288563
玩车教授	指南者	64	29081.114085842328
玩车教授	大迈X5	64	609.4293439350239
玩车教授	宝骏730	64	112963.17653936797
玩车教授	马自达CX-5	63	20568.87759633008
玩车教授	欧蓝德	63	51722.05262824871
玩车教授	速派	62	11056.926049155338
玩车教授	博越	62	82067.44560615408
玩车教授	起亚K5	62	1749.0062279832089
玩车教授	起亚K2	61	1843.476838669656
玩车教授	五菱宏光	61	158951.5069510951
玩车教授	翼虎	61	17959.270023640427
玩车教授	东风风光580	61	28785.412042944634
玩车教授	哈弗H6 Coupe	61	9645.629550302285
玩车教授	马自达MX-5	61	21265.24125850885
玩车教授	猎豹CS10	60	4506.033854132786
玩车教授	马自达CX-4	60	3859.242537718805
玩车教授	远景	60	47469.546440169994
玩车教授	北汽幻速S6	60	570.9310924866224
玩车教授	天籁	60	12849.77627411729
玩车教授	科雷傲	59	12580.881222798527
玩车教授	艾瑞泽5	59	17413.942600891074
玩车教授	雅阁	59	136508.81742039492
玩车教授	凯美瑞	58	87792.86082816165
玩车教授	汉兰达	58	335159.09838352323
玩车教授	标致4008	57	12211.737150392135
玩车教授	比亚迪F3	57	7442.3877811985185
玩车教授	东风风神AX7	56	4456.66948556787
玩车教授	朗动	56	3861.1001903527267
玩车教授	瑞虎5	56	17012.82514049775
玩车教授	思铂睿	56	10415.703812719274
玩车教授	传祺GS8	56	104570.12655087218
玩车教授	高尔夫	54	11702.907171214754
玩车教授	启辰T70	54	2717.0583972062423
玩车教授	名图	53	5802.3248220185815
玩车教授	阿特兹	53	19354.565056014737
玩车教授	风行S500	53	296.38403361344535
玩车教授	蒙迪欧	52	13883.183848286299
玩车教授	迈锐宝	52	13758.314741304715
玩车教授	博瑞	52	98401.56202605487
玩车教授	Yeti	51	2591.366464077462
玩车教授	起亚K3	51	1767.1890221478093
玩车教授	欧尚	51	33952.051896192614
玩车教授	北汽幻速S3	50	311.79443099273607
玩车教授	昂科威	50	37812.742398171074
玩车教授	观致3	48	14375.266645377378
玩车教授	五菱之光	47	1651.5414586981292
玩车教授	锐腾	46	1961.7693767569624
玩车教授	福美来	46	2599.9033299703
玩车教授	菱智	45	3327.918290667365
玩车教授	Tiguan	45	3891.5902984686295
玩车教授	红旗H7	44	2477.8749022599563
玩车教授	奥德赛	43	44050.30152933279
玩车教授	锐界	42	42480.379559113535
玩车教授	途安	42	16173.080111778201
玩车教授	众泰T600	42	14708.480319858074
玩车教授	迈腾	41	136091.86248255597
玩车教授	马自达6	41	8281.037310610713
玩车教授	奥迪Q3	41	12019.226856014908
玩车教授	别克GL8	40	43977.61921694236
玩车教授	帕萨特	40	70072.76810749355
玩车教授	陆风X7	40	5412.658960648971
玩车教授	比亚迪宋	40	52134.38688405187
玩车教授	悦翔V7	39	1326.1817261068022
玩车教授	海马S5	39	2579.4395269892116
玩车教授	哈弗H8	38	14799.872148969129
玩车教授	君越	38	7466.720224594586
玩车教授	哈弗H9	38	55550.59460322808
玩车教授	唐	37	31928.832370467277
玩车教授	标致308	37	4862.84230768763
